w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,player_rank,player_bcr
1,1,5,10,20,0
0,1,6,11,56,-1
4,6,9,14,8,-0.333333333
6,8,10,16,124,-0.25
5,8,10,14,81,-0.375
14,17,2,8,37,-0.176470588
4,5,8,11,42,-0.2
3,6,2,6,130,-0.5
0,4,2,8,74,-1
5,8,5,10,521,-0.375
7,10,14,20,4,-0.3
1,7,6,13,7,-0.857142857
8,11,7,12,33,-0.272727273
1,3,3,8,79,-0.666666667
6,9,3,7,39,-0.333333333
5,6,3,7,94,-0.166666667
4,9,4,9,21,-0.555555556
3,3,5,8,32,0
12,18,3,10,2,-0.333333333
10,16,15,22,1,-0.375
4,4,0,3,72,0
2,2,1,5,24,0
1,1,1,2,6,0
2,5,2,8,88,-0.6
3,4,3,8,16,-0.25
3,3,3,5,20,0
5,8,2,7,8,-0.375
5,11,5,12,81,-0.545454545
4,9,9,16,37,-0.555555556
2,3,7,11,130,-0.333333333
0,1,3,8,4,-1
6,14,11,20,33,-0.571428571
4,8,6,13,39,-0.5
4,6,0,4,21,-0.333333333
5,6,1,4,2,-0.166666667
7,8,2,7,1,-0.125
4,6,12,18,6,-0.333333333
1,5,7,13,16,-0.8
3,5,3,8,20,-0.4
9,13,7,12,37,-0.307692308
0,1,6,12,4,-1
5,9,11,16,39,-0.444444444
0,1,4,9,2,-1
3,4,5,10,1,-0.25
2,3,3,9,16,-0.333333333
1,2,4,9,37,-0.5
3,4,1,7,2,-0.25
0,7,13,22,1,-1
3,4,3,5,2,-0.25
7,12,9,14,2,-0.416666667
2,8,4,10,1,-0.75
4,10,7,14,43,-0.6
0,2,4,8,42,-1
4,5,1,7,30,-0.2
3,4,4,8,22,-0.25
6,13,10,18,117,-0.538461538
5,7,5,10,132,-0.285714286
1,1,4,8,14,0
3,5,6,11,10,-0.4
14,21,8,16,238,-0.333333333
7,13,7,16,35,-0.461538462
7,15,16,25,23,-0.533333333
7,14,5,14,25,-0.5
7,11,11,15,69,-0.363636364
8,8,5,10,36,0
3,6,1,7,8,-0.5
6,10,3,10,3,-0.4
10,14,4,11,87,-0.285714286
1,2,4,6,76,-0.5
6,7,4,9,27,-0.142857143
3,5,11,17,21,-0.4
9,12,2,9,59,-0.25
5,7,3,9,104,-0.285714286
4,7,3,9,16,-0.428571429
13,14,4,8,11,-0.071428571
2,3,0,5,51,-0.333333333
0,0,1,6,116,#DIV/0!
9,14,7,15,73,-0.357142857
2,5,3,8,58,-0.6
2,3,2,5,96,-0.333333333
1,2,5,9,137,-0.5
10,15,5,11,84,-0.333333333
2,4,3,7,7,-0.5
4,9,3,12,75,-0.555555556
11,14,8,11,80,-0.214285714
7,15,13,23,71,-0.533333333
4,6,4,9,19,-0.333333333
2,3,5,8,172,-0.333333333
2,4,2,6,67,-0.5
3,7,4,11,9,-0.571428571
0,1,3,8,15,-1
2,3,4,8,95,-0.333333333
1,3,3,7,63,-0.666666667
1,1,5,8,24,0
7,10,2,7,26,-0.3
1,1,5,8,111,0
5,8,5,11,46,-0.375
2,2,5,7,4,0
1,4,4,10,81,-0.75
5,7,6,11,38,-0.285714286
3,5,9,14,514,-0.4
3,5,1,4,29,-0.4
8,13,9,16,20,-0.384615385
13,14,4,8,457,-0.071428571
0,2,8,13,100,-1
3,5,6,12,12,-0.4
8,13,3,8,68,-0.384615385
2,3,0,5,99,-0.333333333
0,0,1,6,50,#DIV/0!
0,2,12,18,88,-1
2,4,4,10,31,-0.5
5,9,3,9,53,-0.444444444
4,4,3,6,203,0
4,7,1,8,2,-0.428571429
7,11,9,14,1,-0.363636364
5,11,6,14,42,-0.545454545
8,13,5,10,117,-0.384615385
3,6,5,9,14,-0.5
0,0,9,12,10,#DIV/0!
NA,NA,NA,NA,35,#VALUE!
9,14,3,9,69,-0.357142857
6,8,1,6,8,-0.25
4,10,9,17,3,-0.6
7,17,8,19,27,-0.588235294
4,6,5,11,59,-0.333333333
0,1,2,7,104,-1
7,11,6,13,51,-0.363636364
4,9,4,9,116,-0.555555556
4,6,13,17,58,-0.333333333
4,8,1,5,137,-0.5
1,5,0,7,7,-0.8
4,6,8,13,71,-0.333333333
0,0,2,6,19,#DIV/0!
NA,NA,NA,NA,9,#VALUE!
8,14,4,11,15,-0.428571429
1,4,5,10,24,-0.75
9,12,10,13,26,-0.25
0,0,2,3,46,#DIV/0!
5,6,6,11,38,-0.166666667
4,6,9,16,29,-0.333333333
0,0,9,13,20,#DIV/0!
4,4,5,8,12,0
5,8,5,12,68,-0.375
10,13,10,17,88,-0.230769231
2,3,1,6,31,-0.333333333
1,1,3,7,2,0
7,7,3,6,42,0
8,12,3,9,14,-0.333333333
6,7,7,11,35,-0.142857143
1,1,2,6,8,0
0,3,2,10,3,-1
5,8,9,12,104,-0.375
4,7,9,13,51,-0.428571429
5,7,1,6,137,-0.285714286
0,5,14,20,7,-1
4,8,6,13,19,-0.5
2,4,3,9,24,-0.5
0,1,1,6,26,-1
6,9,1,6,38,-0.333333333
10,15,13,20,12,-0.333333333
4,7,12,19,88,-0.428571429
6,8,7,12,31,-0.25
5,7,1,6,14,-0.285714286
2,4,6,11,8,-0.5
1,2,3,10,3,-0.5
8,8,5,9,51,0
6,8,4,8,7,-0.25
7,9,3,8,26,-0.222222222
1,2,2,8,38,-0.5
7,12,7,14,31,-0.416666667
0,1,2,5,8,-1
6,7,3,7,51,-0.142857143
1,1,4,7,26,0
8,12,3,8,38,-0.333333333
3,8,12,20,8,-0.625
4,7,5,9,38,-0.428571429
3,4,8,13,8,-0.25
2,3,3,7,1,-0.333333333
12,17,7,14,58,-0.294117647
5,10,10,16,182,-0.5
4,5,5,8,121,-0.2
2,5,14,18,55,-0.6
8,11,4,8,99,-0.272727273
8,14,9,16,76,-0.428571429
2,3,7,11,13,-0.333333333
2,4,5,10,10,-0.5
2,5,2,5,133,-0.6
6,6,1,4,141,0
1,2,6,10,17,-0.5
6,8,1,6,31,-0.25
6,11,6,12,88,-0.454545455
5,8,3,10,95,-0.375
1,5,4,11,5,-0.8
1,2,5,9,4,-0.5
0,2,3,8,123,-1
0,1,3,7,82,-1
